subset,system,model_tag,query_id,level,rep,status,latency_s,cost_usd,judge_score,n_iterations
C1,baseline,gpt,Q13,factual,2,OK,9.367,0.144568,5,
C1,baseline,gpt,Q14,factual,1,OK,10.859,0.144644,5,
C1,baseline,gpt,Q14,factual,2,OK,9.163,0.144644,5,
C1,baseline,gpt,Q15,factual,1,OK,12.108,0.14608,4,
C1,baseline,gpt,Q15,factual,2,OK,9.731,0.145279,5,
C1,baseline,gpt,Q16,factual,1,OK,9.429,0.144768,5,
C1,baseline,gpt,Q16,factual,2,OK,9.624,0.144768,5,
C1,baseline,gpt,Q17,comparison,1,OK,14.216,0.145708,5,
C1,baseline,gpt,Q17,comparison,2,OK,9.589,0.145727,5,
C1,baseline,gpt,Q18,comparison,1,OK,9.224,0.145619,5,
C1,baseline,gpt,Q18,comparison,2,OK,9.903,0.145565,5,
C1,baseline,gpt,Q19,comparison,1,OK,8.987,0.147392,5,
C1,baseline,gpt,Q19,comparison,2,OK,9.105,0.14651,5,
C1,baseline,gpt,Q20,comparison,1,OK,11.156,0.14649,5,
C1,baseline,gpt,Q20,comparison,2,OK,11.17,0.14672,5,
C1,baseline,gpt,Q21,comparison,1,OK,9.206,0.145874,5,
C1,baseline,gpt,Q21,comparison,2,OK,9.16,0.145712,5,
C1,baseline,gpt,Q22,comparison,1,OK,8.921,0.145473,5,
C1,baseline,gpt,Q22,comparison,2,OK,9.242,0.145919,5,
C1,baseline,gpt,Q23,comparison,1,OK,9.433,0.146059,5,
C1,baseline,gpt,Q23,comparison,2,OK,9.075,0.146234,5,
C1,baseline,gpt,Q24,comparison,1,OK,11.738,0.146557,5,
C1,baseline,gpt,Q24,comparison,2,OK,9.021,0.145909,5,
C1,baseline,gpt,Q25,comparison,1,OK,9.387,0.145073,5,
C1,baseline,gpt,Q25,comparison,2,OK,8.926,0.145055,5,
C1,baseline,gpt,Q26,comparison,1,OK,11.429,0.145508,5,
C1,baseline,gpt,Q26,comparison,2,OK,12.502,0.145666,5,
C1,baseline,gpt,Q27,comparison,1,OK,11.427,0.145489,5,
C1,baseline,gpt,Q27,comparison,2,OK,11.296,0.145394,5,
C1,baseline,gpt,Q28,comparison,1,OK,9.407,0.146129,4,
C1,baseline,gpt,Q28,comparison,2,OK,11.175,0.145697,5,
C1,baseline,gpt,Q29,comparison,1,OK,11.82,0.145952,5,
C1,baseline,gpt,Q29,comparison,2,OK,16.738,0.145759,5,
C1,baseline,gpt,Q30,comparison,1,OK,8.98,0.146152,5,
C1,baseline,gpt,Q30,comparison,2,OK,9.544,0.14621,5,
C1,baseline,gpt,Q31,synthesis,1,OK,15.833,0.149094,4,
C1,baseline,gpt,Q31,synthesis,2,OK,10.316,0.149549,4,
C1,baseline,gpt,Q32,synthesis,1,OK,14.257,0.152815,5,
C1,baseline,gpt,Q32,synthesis,2,OK,16.709,0.155627,5,
C1,baseline,gpt,Q33,synthesis,1,OK,12.505,0.150198,5,
C1,baseline,gpt,Q33,synthesis,2,OK,12.855,0.152471,5,
C1,baseline,gpt,Q34,synthesis,1,OK,13.788,0.148045,4,
C1,baseline,gpt,Q34,synthesis,2,OK,12.237,0.148688,5,
C1,baseline,gpt,Q35,synthesis,1,OK,13.367,0.149615,4,
C1,baseline,gpt,Q35,synthesis,2,OK,12.474,0.147613,4,
C1,baseline,gpt,Q36,synthesis,1,OK,10.035,0.146987,5,
C1,baseline,gpt,Q36,synthesis,2,OK,9.806,0.148427,4,
C1,baseline,gpt,Q37,synthesis,1,OK,10.12,0.147966,5,
C1,baseline,gpt,Q37,synthesis,2,OK,9.664,0.14743,4,
C1,baseline,gpt,Q38,synthesis,1,OK,15.121,0.151967,5,
C1,baseline,gpt,Q38,synthesis,2,OK,13.721,0.15234,4,
C1,baseline,gpt,Q39,synthesis,1,OK,12.672,0.150628,4,
C1,baseline,gpt,Q39,synthesis,2,OK,13.656,0.149971,4,
C1,baseline,gpt,Q40,synthesis,1,OK,16.93,0.153262,4,
C1,baseline,gpt,Q40,synthesis,2,OK,15.799,0.153411,4,
C1,rag,gemini,Q01,factual,1,OK,1.85,0.000892,5,
C1,rag,gemini,Q01,factual,2,OK,1.367,0.000872,5,
C1,rag,gemini,Q02,factual,1,OK,1.879,0.001082,5,
C1,rag,gemini,Q02,factual,2,OK,1.864,0.001082,5,
C1,rag,gemini,Q03,factual,1,OK,7.458,0.001106,2,
C1,rag,gemini,Q03,factual,2,OK,5.314,0.000886,2,
C1,rag,gemini,Q04,factual,1,OK,2.152,0.000861,5,
C1,rag,gemini,Q04,factual,2,OK,2.134,0.000861,5,
C1,rag,gemini,Q05,factual,1,OK,2.319,0.000762,5,
C1,rag,gemini,Q05,factual,2,OK,2.051,0.000755,5,
C1,rag,gemini,Q06,factual,1,OK,6.015,0.001301,5,
C1,rag,gemini,Q06,factual,2,OK,6.643,0.001346,5,
C1,rag,gemini,Q07,factual,1,OK,4.198,0.001157,4,
C1,rag,gemini,Q07,factual,2,OK,4.195,0.001157,4,
C1,rag,gemini,Q08,factual,1,OK,1.859,0.000877,5,
C1,rag,gemini,Q08,factual,2,OK,1.662,0.000875,5,
C1,rag,gemini,Q09,factual,1,OK,2.162,0.001033,5,
C1,rag,gemini,Q09,factual,2,OK,2.133,0.001008,5,
C1,rag,gemini,Q10,factual,1,OK,1.599,0.000849,5,
C1,rag,gemini,Q10,factual,2,OK,1.516,0.000849,5,
C1,rag,gemini,Q11,factual,1,OK,1.693,0.001102,5,
C1,rag,gemini,Q11,factual,2,OK,1.721,0.001102,5,
C1,rag,gemini,Q12,factual,1,OK,3.047,0.001312,5,
C1,rag,gemini,Q12,factual,2,OK,3.229,0.001312,5,
C1,rag,gemini,Q13,factual,1,OK,2.29,0.000857,5,
C1,rag,gemini,Q13,factual,2,OK,2.012,0.000879,5,
C1,rag,gemini,Q14,factual,1,OK,1.907,0.000818,5,
C1,rag,gemini,Q14,factual,2,OK,1.997,0.000818,5,
C1,rag,gemini,Q15,factual,1,OK,2.261,0.001045,5,
C1,rag,gemini,Q15,factual,2,OK,2.172,0.001017,5,
C1,rag,gemini,Q16,factual,1,OK,1.449,0.001001,5,
C1,rag,gemini,Q16,factual,2,OK,1.456,0.000998,5,
C1,rag,gemini,Q17,comparison,1,OK,3.516,0.001122,2,
C1,rag,gemini,Q17,comparison,2,OK,3.171,0.001037,2,
C1,rag,gemini,Q18,comparison,1,OK,3.481,0.001045,4,
C1,rag,gemini,Q18,comparison,2,OK,3.287,0.001045,2,
C1,rag,gemini,Q19,comparison,1,OK,4.613,0.001358,3,
C1,rag,gemini,Q19,comparison,2,OK,3.435,0.001131,2,
C1,rag,gemini,Q20,comparison,1,OK,4.183,0.001295,2,
C1,rag,gemini,Q20,comparison,2,OK,4.441,0.001295,3,
C1,rag,gemini,Q21,comparison,1,OK,1.436,0.000895,1,
C1,rag,gemini,Q21,comparison,2,OK,1.703,0.000895,1,
C1,rag,gemini,Q22,comparison,1,OK,3.522,0.001143,2,
C1,rag,gemini,Q22,comparison,2,OK,6.958,0.001153,2,
C1,rag,gemini,Q23,comparison,1,OK,4.577,0.001381,3,
C1,rag,gemini,Q23,comparison,2,OK,5.298,0.001036,2,
C1,rag,gemini,Q24,comparison,1,OK,7.758,0.001137,3,
C1,rag,gemini,Q24,comparison,2,OK,8.886,0.001154,4,
C1,rag,gemini,Q25,comparison,1,OK,4.169,0.001068,2,
C1,rag,gemini,Q25,comparison,2,OK,4.342,0.001068,3,
C1,rag,gemini,Q26,comparison,1,OK,10.873,0.001163,2,
C1,rag,gemini,Q26,comparison,2,OK,4.811,0.001141,2,
C1,rag,gemini,Q27,comparison,1,OK,7.584,0.00147,2,
C1,rag,gemini,Q27,comparison,2,OK,8.157,0.001525,2,
C1,rag,gemini,Q28,comparison,1,OK,4.887,0.000983,3,
C1,rag,gemini,Q28,comparison,2,OK,5.655,0.001048,3,
C1,rag,gemini,Q29,comparison,1,OK,4.673,0.001275,3,
C1,rag,gemini,Q29,comparison,2,OK,4.741,0.001275,3,
C1,rag,gemini,Q30,comparison,1,OK,3.618,0.001064,2,
C1,rag,gemini,Q30,comparison,2,OK,3.54,0.001064,2,
C1,rag,gemini,Q31,synthesis,1,OK,4.24,0.000835,2,
C1,rag,gemini,Q31,synthesis,2,OK,3.63,0.000835,2,
C1,rag,gemini,Q32,synthesis,1,OK,8.891,0.001484,2,
C1,rag,gemini,Q32,synthesis,2,OK,8.379,0.001484,2,
C1,rag,gemini,Q33,synthesis,1,OK,12.039,0.001236,3,
C1,rag,gemini,Q33,synthesis,2,OK,9.154,0.001326,4,
C1,rag,gemini,Q34,synthesis,1,OK,6.474,0.001135,2,
C1,rag,gemini,Q34,synthesis,2,OK,6.195,0.001135,2,
C1,rag,gemini,Q35,synthesis,1,OK,8.032,0.001192,2,
C1,rag,gemini,Q35,synthesis,2,OK,8.807,0.001215,2,
C1,rag,gemini,Q36,synthesis,1,OK,8.739,0.00121,4,
C1,rag,gemini,Q36,synthesis,2,OK,9.658,0.00121,3,
C1,rag,gemini,Q37,synthesis,1,OK,6.277,0.001104,2,
C1,rag,gemini,Q37,synthesis,2,OK,6.406,0.001104,2,
C1,rag,gemini,Q38,synthesis,1,OK,8.767,0.001376,4,
C1,rag,gemini,Q38,synthesis,2,OK,7.102,0.001376,4,
C1,rag,gemini,Q39,synthesis,1,OK,8.565,0.001305,2,
C1,rag,gemini,Q39,synthesis,2,OK,7.762,0.001305,3,
C1,rag,gemini,Q40,synthesis,1,OK,11.217,0.001393,2,
C1,rag,gemini,Q40,synthesis,2,OK,11.338,0.001393,2,
C1,rag,gpt,Q01,factual,1,OK,1.524,0.002119,5,
C1,rag,gpt,Q01,factual,2,OK,1.628,0.002106,5,
C1,rag,gpt,Q02,factual,1,OK,2.21,0.002504,5,
C1,rag,gpt,Q02,factual,2,OK,1.706,0.002509,5,
C1,rag,gpt,Q03,factual,1,OK,1.208,0.002162,2,
C1,rag,gpt,Q03,factual,2,OK,1.309,0.002126,2,
C1,rag,gpt,Q04,factual,1,OK,1.122,0.00198,5,
C1,rag,gpt,Q04,factual,2,OK,0.742,0.00198,4,
C1,rag,gpt,Q05,factual,1,OK,1.309,0.001666,5,
C1,rag,gpt,Q05,factual,2,OK,1.488,0.001697,5,
C1,rag,gpt,Q06,factual,1,OK,2.077,0.002521,5,
C1,rag,gpt,Q06,factual,2,OK,2.102,0.002683,5,
C1,rag,gpt,Q07,factual,1,OK,1.664,0.002308,4,
C1,rag,gpt,Q07,factual,2,OK,1.689,0.002344,5,
C1,rag,gpt,Q08,factual,1,OK,0.784,0.002007,5,
C1,rag,gpt,Q08,factual,2,OK,0.982,0.001998,5,
C1,rag,gpt,Q09,factual,1,OK,1.038,0.002102,5,
C1,rag,gpt,Q09,factual,2,OK,1.84,0.002102,4,
C1,rag,gpt,Q10,factual,1,OK,1.693,0.001983,5,
C1,rag,gpt,Q10,factual,2,OK,1.034,0.001934,5,
C1,rag,gpt,Q11,factual,1,OK,2.024,0.002327,4,
C1,rag,gpt,Q11,factual,2,OK,1.345,0.002332,5,
C1,rag,gpt,Q12,factual,1,OK,1.91,0.002588,5,
C1,rag,gpt,Q12,factual,2,OK,1.632,0.002602,5,
C1,rag,gpt,Q13,factual,1,OK,2.152,0.001901,5,
C1,rag,gpt,Q13,factual,2,OK,0.76,0.001901,5,
C1,rag,gpt,Q14,factual,1,OK,1.022,0.001937,4,
C1,rag,gpt,Q14,factual,2,OK,1.263,0.001941,5,
C1,rag,gpt,Q15,factual,1,OK,1.737,0.002474,5,
C1,rag,gpt,Q15,factual,2,OK,2.099,0.002514,4,
C1,rag,gpt,Q16,factual,1,OK,1.903,0.002136,2,
C1,rag,gpt,Q16,factual,2,OK,1.802,0.002158,2,
C1,rag,gpt,Q17,comparison,1,OK,1.918,0.002642,4,
C1,rag,gpt,Q17,comparison,2,OK,1.281,0.002435,4,
C1,rag,gpt,Q18,comparison,1,OK,1.594,0.002651,5,
C1,rag,gpt,Q18,comparison,2,OK,2.427,0.002566,5,
C1,rag,gpt,Q19,comparison,1,OK,2.203,0.003042,5,
C1,rag,gpt,Q19,comparison,2,OK,2.315,0.00328,5,
C1,rag,gpt,Q20,comparison,1,OK,2.558,0.003013,5,
C1,rag,gpt,Q20,comparison,2,OK,2.282,0.002954,5,
C1,rag,gpt,Q21,comparison,1,OK,1.369,0.002374,5,
C1,rag,gpt,Q21,comparison,2,OK,1.49,0.002522,5,
C1,rag,gpt,Q22,comparison,1,OK,1.986,0.00274,4,
C1,rag,gpt,Q22,comparison,2,OK,1.972,0.002637,4,
C1,rag,gpt,Q23,comparison,1,OK,1.986,0.003041,5,
C1,rag,gpt,Q23,comparison,2,OK,1.816,0.002785,5,
C1,rag,gpt,Q24,comparison,1,OK,1.871,0.002726,4,
C1,rag,gpt,Q24,comparison,2,OK,1.942,0.002671,5,
C1,rag,gpt,Q25,comparison,1,OK,0.979,0.002254,2,
C1,rag,gpt,Q25,comparison,2,OK,1.171,0.002304,2,
C1,rag,gpt,Q26,comparison,1,OK,2.164,0.002567,5,
C1,rag,gpt,Q26,comparison,2,OK,1.303,0.002526,4,
C1,rag,gpt,Q27,comparison,1,OK,2.159,0.003026,2,
C1,rag,gpt,Q27,comparison,2,OK,2.678,0.003274,2,
C1,rag,gpt,Q28,comparison,1,OK,1.596,0.002575,4,
C1,rag,gpt,Q28,comparison,2,OK,1.414,0.002413,4,
C1,rag,gpt,Q29,comparison,1,OK,4.236,0.002726,4,
C1,rag,gpt,Q29,comparison,2,OK,1.451,0.002776,2,
C1,rag,gpt,Q30,comparison,1,OK,1.929,0.002797,5,
C1,rag,gpt,Q30,comparison,2,OK,1.771,0.002792,4,
C1,rag,gpt,Q31,synthesis,1,OK,3.368,0.002694,3,
C1,rag,gpt,Q31,synthesis,2,OK,3.482,0.0034,2,
C1,rag,gpt,Q32,synthesis,1,OK,3.529,0.003056,3,
C1,rag,gpt,Q32,synthesis,2,OK,3.321,0.003276,2,
C1,rag,gpt,Q33,synthesis,1,OK,3.87,0.003192,4,
C1,rag,gpt,Q33,synthesis,2,OK,2.615,0.002981,4,
C1,rag,gpt,Q34,synthesis,1,OK,3.639,0.003227,3,
C1,rag,gpt,Q34,synthesis,2,OK,2.807,0.003061,2,
C1,rag,gpt,Q35,synthesis,1,OK,2.455,0.002756,2,
C1,rag,gpt,Q35,synthesis,2,OK,2.783,0.003031,3,
C1,rag,gpt,Q36,synthesis,1,OK,2.369,0.002881,4,
C1,rag,gpt,Q36,synthesis,2,OK,8.059,0.003061,4,
C1,rag,gpt,Q37,synthesis,1,OK,3.367,0.003094,4,
C1,rag,gpt,Q37,synthesis,2,OK,3.067,0.003184,4,
C1,rag,gpt,Q38,synthesis,1,OK,3.522,0.003358,4,
C1,rag,gpt,Q38,synthesis,2,OK,3.892,0.003593,4,
C1,rag,gpt,Q39,synthesis,1,OK,3.746,0.00348,2,
C1,rag,gpt,Q39,synthesis,2,OK,3.945,0.00375,2,
C1,rag,gpt,Q40,synthesis,1,OK,3.037,0.00289,4,
C1,rag,gpt,Q40,synthesis,2,OK,3.759,0.003362,3,
C1,rlm,gemini,Q01,factual,1,OK,45.701,0.011487,5,8
C1,rlm,gemini,Q01,factual,2,OK,88.62,0.005387,5,5
C1,rlm,gemini,Q02,factual,1,OK,11.45,0.003317,5,3
C1,rlm,gemini,Q02,factual,2,OK,28.367,0.005966,1,6
C1,rlm,gemini,Q03,factual,1,OK,8.619,0.002329,1,2
C1,rlm,gemini,Q03,factual,2,OK,4.78,0.002264,1,3
C1,rlm,gemini,Q04,factual,1,OK,29.109,0.00762,1,5
C1,rlm,gemini,Q04,factual,2,OK,25.751,0.003717,1,4
C1,rlm,gemini,Q05,factual,1,OK,12.67,0.004359,5,4
C1,rlm,gemini,Q05,factual,2,OK,11.183,0.003283,1,3
C1,rlm,gemini,Q06,factual,1,OK,16.223,0.005068,1,4
C1,rlm,gemini,Q06,factual,2,OK,10.217,0.003477,5,3
C1,rlm,gemini,Q07,factual,1,OK,44.311,0.008706,4,7
C1,rlm,gemini,Q07,factual,2,OK,72.675,0.021045,4,11
C1,rlm,gemini,Q08,factual,1,OK,19.474,0.007326,5,7
C1,rlm,gemini,Q08,factual,2,OK,14.289,0.00533,5,6
C1,rlm,gemini,Q09,factual,1,OK,57.144,0.010677,4,7
C1,rlm,gemini,Q09,factual,2,OK,36.865,0.009358,2,6
C1,rlm,gemini,Q10,factual,1,OK,24.103,0.003181,2,4
C1,rlm,gemini,Q10,factual,2,OK,18.69,0.007591,5,6
C1,rlm,gemini,Q11,factual,1,OK,6.583,0.002717,4,3
C1,rlm,gemini,Q11,factual,2,OK,32.591,0.012014,4,9
C1,rlm,gemini,Q12,factual,1,OK,10.081,0.004802,1,4
C1,rlm,gemini,Q12,factual,2,OK,12.531,0.00474,5,4
C1,rlm,gemini,Q13,factual,1,OK,42.172,0.008623,2,7
C1,rlm,gemini,Q13,factual,2,OK,34.08,0.007307,2,6
C1,rlm,gemini,Q14,factual,1,OK,30.743,0.005696,1,4
C1,rlm,gemini,Q14,factual,2,OK,36.17,0.011297,5,8
C1,rlm,gemini,Q15,factual,1,OK,78.741,0.022184,1,7
C1,rlm,gemini,Q15,factual,2,OK,9.793,0.003366,1,3
C1,rlm,gemini,Q16,factual,1,OK,20.431,0.008556,5,6
C1,rlm,gemini,Q16,factual,2,OK,24.553,0.008686,5,6
C1,rlm,gemini,Q17,comparison,1,OK,12.852,0.005738,2,5
C1,rlm,gemini,Q17,comparison,2,OK,29.442,0.00643,4,5
C1,rlm,gemini,Q18,comparison,1,OK,19.756,0.009587,4,6
C1,rlm,gemini,Q18,comparison,2,OK,17.02,0.008863,4,6
C1,rlm,gemini,Q19,comparison,1,OK,22.399,0.005244,5,5
C1,rlm,gemini,Q19,comparison,2,OK,23.196,0.006993,4,6
C1,rlm,gemini,Q20,comparison,1,OK,33.663,0.008353,4,5
C1,rlm,gemini,Q20,comparison,2,OK,52.529,0.017451,2,8
C1,rlm,gemini,Q21,comparison,1,OK,25.812,0.009374,5,4
C1,rlm,gemini,Q21,comparison,2,OK,21.215,0.012735,4,8
C1,rlm,gemini,Q22,comparison,1,OK,15.357,0.00852,2,5
C1,rlm,gemini,Q22,comparison,2,OK,208.001,0.021062,5,8
C1,rlm,gemini,Q23,comparison,1,OK,36.796,0.016134,4,6
C1,rlm,gemini,Q23,comparison,2,OK,21.496,0.007647,2,6
C1,rlm,gemini,Q24,comparison,1,OK,209.621,0.013728,4,7
C1,rlm,gemini,Q24,comparison,2,OK,21.448,0.008369,4,7
C1,rlm,gemini,Q25,comparison,1,OK,22.003,0.007496,2,5
C1,rlm,gemini,Q25,comparison,2,OK,26.486,0.011889,4,7
C1,rlm,gemini,Q26,comparison,1,OK,45.837,0.022111,4,9
C1,rlm,gemini,Q26,comparison,2,OK,266.388,0.066003,5,12
C1,rlm,gemini,Q27,comparison,1,OK,30.867,0.019631,2,9
C1,rlm,gemini,Q27,comparison,2,OK,26.958,0.010211,2,6
C1,rlm,gemini,Q28,comparison,1,OK,23.543,0.007535,3,4
C1,rlm,gemini,Q28,comparison,2,OK,268.564,0.045725,3,9
C1,rlm,gemini,Q29,comparison,1,OK,52.554,0.018581,2,6
C1,rlm,gemini,Q29,comparison,2,OK,35.098,0.00815,4,6
C1,rlm,gemini,Q30,comparison,1,OK,43.631,0.014182,3,9
C1,rlm,gemini,Q30,comparison,2,OK,17.492,0.008162,5,5
C1,rlm,gemini,Q31,synthesis,1,OK,274.409,0.026096,4,8
C1,rlm,gemini,Q31,synthesis,2,OK,248.241,0.012653,1,8
C1,rlm,gemini,Q32,synthesis,1,OK,54.662,0.004104,4,3
C1,rlm,gemini,Q32,synthesis,2,OK,61.404,0.015112,4,6
C1,rlm,gemini,Q33,synthesis,1,OK,89.744,0.040675,4,10
C1,rlm,gemini,Q33,synthesis,2,OK,89.842,0.009776,4,5
C1,rlm,gemini,Q34,synthesis,1,OK,330.937,0.010175,4,7
C1,rlm,gemini,Q34,synthesis,2,OK,94.195,0.012468,5,5
C1,rlm,gemini,Q35,synthesis,1,OK,73.915,0.005024,4,4
C1,rlm,gemini,Q35,synthesis,2,OK,81.114,0.019781,1,8
