paper_id,title,status,n_pages,n_tokens,n_chars,error
paper_18,Dynamic difficulty adjustment using a large language model: A case study in magic: The Gathering,OK,13,19363,76943,
paper_19,Cooperation and Decision-Making of LLM Agents in Bayesian-Informed Infinitely Repeated Games,OK,6,8415,33484,
paper_20,How Personality Traits Influence Negotiation Outcomes? A Simulation based on Large Language Models,OK,16,14485,59311,
paper_21,FishBargain: An LLM-Empowered Bargaining Agent for Online Fleamarket Platform Sellers,OK,4,5179,19741,
paper_22,Can Large Language Models Serve as Rational Players in Game Theory? A Systematic Analysis,OK,8,11019,41746,
paper_23,CollabPersona: A Framework for Collaborative Decision Analysis in Persona Driven LLM-Based Multi-Agent Systems,OK,6,8145,33510,
paper_24,Will Systems of LLM Agents Lead to Cooperation: An Investigation into a Social Dilemma Extended Abstract,OK,10,12632,50037,
paper_25,Evolving Strategies: LLMs as Game Players,OK,6,6410,27561,
paper_26,ALYMPICS: LLM Agents Meet Game Theory,OK,17,13817,56008,
paper_27,Dynamic Personality in LLM Agents: A Framework for Evolutionary Modeling and Behavioral Analysis in the Prisoner's Dilemma,OK,14,12622,52212,
paper_28,GTBENCH: Uncovering the Strategic Reasoning Limitations of LLMs via Game-Theoretic Evaluations,OK,29,22735,88278,
paper_29,Too Much Information? Investigating Information Disclosure in Auction Systems with LLM Simulations,OK,8,9312,40639,
paper_30,LLMsPark: A Benchmark for Evaluating Large Language Models in Strategic Gaming Contexts,OK,13,13511,51906,
paper_31,Can LLMs effectively provide game-theoretic-based scenarios for cybersecurity?,OK,17,12669,53769,
paper_32,Towards Logically Sound Natural Language Reasoning with Logic-Enhanced Language Model Agents,OK,8,11859,46034,
paper_33,Evaluating Theory-of-Mind in Large Language Models Through Opponent Modeling,OK,9,13346,52081,
paper_34,Evaluating and Enhancing LLMs Agent Based on Theory of Mind in Guandan: A Multi-Player Cooperative Game Under Imperfect Information,OK,22,22700,72289,
paper_35,Fine-Grained and Thematic Evaluation of LLMs in Social Deduction Game,OK,14,16723,72044,
paper_36,Combining Code Generating Large Language Models and Self-Play to Iteratively Refine Strategies in Games,OK,5,6916,25640,
paper_37,Playing games with GPT: What can we learn about a large language model from canonical strategic games?,OK,15,8672,36365,
paper_38,Large Language Models Playing Mixed Strategy Nash Equilibrium Games,OK,12,6133,24611,
paper_39,Game-theory behaviour of large language models: The case of Keynesian beauty contests,OK,30,15293,62393,
paper_40,Artificial intelligence and strategic uncertainty: Can AI play mixed strategies?,OK,20,13755,56815,
paper_41,Talking terms: Agent information in LLM supply chain bargaining,OK,15,20241,81057,
paper_42,Strategizing with AI: Insights from a beauty contest experiment,OK,34,19044,72714,
paper_43,Can AI with High Reasoning Ability Replicate Human-like Decision Making in Economic Experiments?,OK,10,8046,34023,
paper_44,Decision-Making Behavior Evaluation Framework for LLMs under Uncertain Context,OK,17,14323,57453,
paper_45,Will LLMs Sink or Swim? Exploring Decision-Making Under Pressure,OK,26,22900,92258,
paper_46,LLMARENA: Assessing Capabilities of Large Language Models in Dynamic Multi-Agent Environments,OK,21,18574,70537,
paper_47,Navigating Social Dilemmas with LLM-based Agents via Consideration of Future Consequences,OK,9,14034,50708,
paper_48,Benchmarking Large Language Model (LLM) Performance for Game Playing via Tic-Tac-Toe,OK,21,17585,70764,
paper_49,"The machine psychology of cooperation: can GPT models operationalize prompts for altruism, cooperation, competitiveness, and selfishness in economic games?",OK,38,41674,158120,
paper_50,LLM-Deliberation: Evaluating LLMs with Interactive Multi-Agent Negotiation Games,OK,42,43072,182647,
paper_51,Playing repeated games with large language models,OK,15,16114,64702,
paper_52,Human-level play in the game of Diplomacy by combining language models with strategic reasoning,OK,91,48577,198116,
paper_53,Evaluating Language Model Agency through Negotiations,OK,28,23699,85538,
paper_54,Strategic Reasoning with Language Models,OK,21,20529,77038,
paper_55,AvalonBench: Evaluating LLMs Playing the Game of Avalon,OK,28,16498,67027,
