paper_id,title,status,n_tokens_raw,n_tokens_processed,tokens_removed,pct_removed,sections_removed,warnings,error
paper_11,Exploring the Integration of Large Language Models and Monte Carlo Tree Search in Team Formation for Turn-Based Games: a case-study with the VGC AI Competition,WARNING,14485,10648,3837,26.5,appendix (desde línea 899: 'APPENDIX A'),No se encontró 'Abstract' ni 'Introduction' en las primeras 100 líneas — bloque de autor no eliminado | Sección 'disclaimer' no detectada | Sección 'references' no detectada | Sección 'bibliography' no detectada | Sección 'acknowledgments' no detectada,
paper_12,PokéChamp: an Expert-level Minimax Language Agent,WARNING,15226,8846,6380,41.9,"pre_abstract (líneas 0-4, 4 líneas eliminadas) | appendix (desde línea 633: 'Appendix') | references (desde línea 531: 'References') | acknowledgments (líneas 528-531, 3 líneas)",Sección 'disclaimer' no detectada,
paper_13,PokerBench: Training Large Language Models to Become Professional Poker Players,WARNING,10956,8824,2132,19.5,"pre_abstract (líneas 0-7, 7 líneas eliminadas) | references (desde línea 691: 'References')",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada | Sección 'acknowledgments' no detectada,
paper_14,Cooperate or Collapse: Emergence of Sustainable Cooperation in a Society of LLM Agents,WARNING,37647,8805,28842,76.6,"pre_abstract (líneas 0-16, 16 líneas eliminadas) | acknowledgments (líneas 639-3158, 2519 líneas)",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada | Sección 'references' no detectada | Sección 'bibliography' no detectada,
paper_15,Can LLMs Play Ô Ǎn Quan? A Study of Multi-Step Planning and Decision Making,WARNING,6874,4262,2612,38.0,"references (desde línea 433: 'REFERENCES') | acknowledgments (líneas 429-433, 4 líneas)",No se encontró 'Abstract' ni 'Introduction' en las primeras 100 líneas — bloque de autor no eliminado | Sección 'disclaimer' no detectada | Sección 'appendix' no detectada,
paper_16,Measuring Bargaining Abilities of LLMs: A Benchmark and A Buyer-Enhancement Method,WARNING,20674,9449,11225,54.3,"pre_abstract (líneas 0-12, 12 líneas eliminadas) | references (desde línea 1158: 'References') | acknowledgments (líneas 1131-1158, 27 líneas)",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada,
paper_17,EAI: Emotional Decision-Making of LLMs in Strategic Games and Ethical Dilemmas,WARNING,22783,7195,15588,68.4,"pre_abstract (líneas 0-11, 11 líneas eliminadas) | acknowledgments (líneas 446-1842, 1396 líneas)",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada | Sección 'references' no detectada | Sección 'bibliography' no detectada,
paper_18,Dynamic difficulty adjustment using a large language model: A case study in magic: The Gathering,WARNING,19363,15989,3374,17.4,"references (desde línea 1104: 'References') | acknowledgments (líneas 1102-1104, 2 líneas)",No se encontró 'Abstract' ni 'Introduction' en las primeras 100 líneas — bloque de autor no eliminado | Sección 'disclaimer' no detectada | Sección 'appendix' no detectada,
paper_19,Cooperation and Decision-Making of LLM Agents in Bayesian-Informed Infinitely Repeated Games,WARNING,8415,6777,1638,19.5,references (desde línea 654: 'REFERENCES'),No se encontró 'Abstract' ni 'Introduction' en las primeras 100 líneas — bloque de autor no eliminado | Sección 'disclaimer' no detectada | Sección 'appendix' no detectada | Sección 'acknowledgments' no detectada,
paper_20,How Personality Traits Influence Negotiation Outcomes? A Simulation based on Large Language Models,WARNING,14485,8529,5956,41.1,"pre_abstract (líneas 0-5, 5 líneas eliminadas) | appendix (desde línea 908: 'Appendix') | references (desde línea 789: 'References') | acknowledgments (líneas 748-789, 41 líneas)",Sección 'disclaimer' no detectada,
paper_21,FishBargain: An LLM-Empowered Bargaining Agent for Online Fleamarket Platform Sellers,WARNING,5179,4235,944,18.2,"pre_abstract (líneas 0-26, 26 líneas eliminadas) | references (desde línea 354: 'References')",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada | Sección 'acknowledgments' no detectada,
paper_22,Can Large Language Models Serve as Rational Players in Game Theory? A Systematic Analysis,WARNING,11019,8885,2134,19.4,"pre_abstract (líneas 0-5, 5 líneas eliminadas) | references (desde línea 735: 'References') | acknowledgments (líneas 732-735, 3 líneas)",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada,
paper_23,CollabPersona: A Framework for Collaborative Decision Analysis in Persona Driven LLM-Based Multi-Agent Systems,WARNING,8145,6460,1685,20.7,"pre_abstract (líneas 0-6, 6 líneas eliminadas) | references (desde línea 566: '7. REFERENCES')",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada | Sección 'acknowledgments' no detectada,
paper_24,Will Systems of LLM Agents Lead to Cooperation: An Investigation into a Social Dilemma Extended Abstract,WARNING,12632,7719,4913,38.9,"pre_abstract (líneas 0-6, 6 líneas eliminadas) | references (desde línea 734: 'References') | acknowledgments (líneas 728-734, 6 líneas)",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada,
paper_25,Evolving Strategies: LLMs as Game Players,WARNING,6410,4959,1451,22.6,references (desde línea 499: 'REFERENCES'),No se encontró 'Abstract' ni 'Introduction' en las primeras 100 líneas — bloque de autor no eliminado | Sección 'disclaimer' no detectada | Sección 'appendix' no detectada | Sección 'acknowledgments' no detectada,
paper_26,ALYMPICS: LLM Agents Meet Game Theory,WARNING,13817,7517,6300,45.6,"pre_abstract (líneas 0-7, 7 líneas eliminadas) | appendix (desde línea 1010: 'Appendix') | references (desde línea 883: 'References')",Sección 'disclaimer' no detectada | Sección 'acknowledgments' no detectada,
paper_27,Dynamic Personality in LLM Agents: A Framework for Evolutionary Modeling and Behavioral Analysis in the Prisoner's Dilemma,WARNING,12622,7375,5247,41.6,"pre_abstract (líneas 0-11, 11 líneas eliminadas) | references (desde línea 713: 'References') | acknowledgments (líneas 707-713, 6 líneas)",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada,
paper_28,GTBENCH: Uncovering the Strategic Reasoning Limitations of LLMs via Game-Theoretic Evaluations,WARNING,22735,9078,13657,60.1,"pre_abstract (líneas 0-8, 8 líneas eliminadas) | appendix (desde línea 874: 'Appendix') | references (desde línea 693: 'References')",Sección 'disclaimer' no detectada | Sección 'acknowledgments' no detectada,
paper_29,Too Much Information? Investigating Information Disclosure in Auction Systems with LLM Simulations,WARNING,9312,4870,4442,47.7,"pre_abstract (líneas 0-6, 6 líneas eliminadas) | references (desde línea 376: 'References')",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada | Sección 'acknowledgments' no detectada,
paper_30,LLMsPark: A Benchmark for Evaluating Large Language Models in Strategic Gaming Contexts,WARNING,13511,7725,5786,42.8,"pre_abstract (líneas 0-9, 9 líneas eliminadas) | references (desde línea 738: 'References')",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada | Sección 'acknowledgments' no detectada,
paper_31,Can LLMs effectively provide game-theoretic-based scenarios for cybersecurity?,WARNING,12669,8133,4536,35.8,"pre_abstract (líneas 0-9, 9 líneas eliminadas) | references (desde línea 446: 'References') | acknowledgments (líneas 432-446, 14 líneas)",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada,
paper_32,Towards Logically Sound Natural Language Reasoning with Logic-Enhanced Language Model Agents,WARNING,11859,8626,3233,27.3,"pre_abstract (líneas 0-19, 19 líneas eliminadas) | references (desde línea 708: 'References') | acknowledgments (líneas 705-708, 3 líneas)",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada,
paper_33,Evaluating Theory-of-Mind in Large Language Models Through Opponent Modeling,WARNING,13346,8982,4364,32.7,"pre_abstract (líneas 0-22, 22 líneas eliminadas) | references (desde línea 763: 'References')",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada | Sección 'acknowledgments' no detectada,
paper_34,Evaluating and Enhancing LLMs Agent Based on Theory of Mind in Guandan: A Multi-Player Cooperative Game Under Imperfect Information,WARNING,22700,7964,14736,64.9,"pre_abstract (líneas 0-14, 14 líneas eliminadas) | references (desde línea 685: 'REFERENCES') | acknowledgments (líneas 663-685, 22 líneas)",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada,
paper_35,Fine-Grained and Thematic Evaluation of LLMs in Social Deduction Game,WARNING,16723,12580,4143,24.8,references (desde línea 1204: 'REFERENCES'),No se encontró 'Abstract' ni 'Introduction' en las primeras 100 líneas — bloque de autor no eliminado | Sección 'disclaimer' no detectada | Sección 'appendix' no detectada | Sección 'acknowledgments' no detectada,
paper_36,Combining Code Generating Large Language Models and Self-Play to Iteratively Refine Strategies in Games,WARNING,6916,3468,3448,49.9,"pre_abstract (líneas 0-7, 7 líneas eliminadas) | references (desde línea 244: 'References')",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada | Sección 'acknowledgments' no detectada,
paper_37,Playing games with GPT: What can we learn about a large language model from canonical strategic games?,WARNING,8672,7341,1331,15.3,"pre_abstract (líneas 0-5, 5 líneas eliminadas) | references (desde línea 472: 'References')",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada | Sección 'acknowledgments' no detectada,
paper_38,Large Language Models Playing Mixed Strategy Nash Equilibrium Games,WARNING,6133,5261,872,14.2,"pre_abstract (líneas 0-24, 24 líneas eliminadas) | references (desde línea 346: 'References')",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada | Sección 'acknowledgments' no detectada,
paper_39,Game-theory behaviour of large language models: The case of Keynesian beauty contests,WARNING,15293,10987,4306,28.2,"pre_abstract (líneas 0-4, 4 líneas eliminadas) | appendix (desde línea 751: 'Appendix')",Sección 'disclaimer' no detectada | Sección 'references' no detectada | Sección 'bibliography' no detectada | Sección 'acknowledgments' no detectada,
paper_40,Artificial intelligence and strategic uncertainty: Can AI play mixed strategies?,WARNING,13755,10632,3123,22.7,"pre_abstract (líneas 0-2, 2 líneas eliminadas) | references (desde línea 666: 'References')",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada | Sección 'acknowledgments' no detectada,
paper_41,Talking terms: Agent information in LLM supply chain bargaining,WARNING,20241,14858,5383,26.6,"pre_abstract (líneas 0-19, 19 líneas eliminadas)",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada | Sección 'references' no detectada | Sección 'bibliography' no detectada | Sección 'acknowledgments' no detectada,
paper_42,Strategizing with AI: Insights from a beauty contest experiment,WARNING,19044,15481,3563,18.7,"pre_abstract (líneas 0-9, 9 líneas eliminadas) | references (desde línea 1495: 'References') | acknowledgments (líneas 1478-1495, 17 líneas)",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada,
paper_43,Can AI with High Reasoning Ability Replicate Human-like Decision Making in Economic Experiments?,WARNING,8046,6197,1849,23.0,"pre_abstract (líneas 0-19, 19 líneas eliminadas) | references (desde línea 363: 'References')",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada | Sección 'acknowledgments' no detectada,
paper_44,Decision-Making Behavior Evaluation Framework for LLMs under Uncertain Context,WARNING,14323,7760,6563,45.8,"pre_abstract (líneas 0-5, 5 líneas eliminadas)",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada | Sección 'references' no detectada | Sección 'bibliography' no detectada | Sección 'acknowledgments' no detectada,
paper_45,Will LLMs Sink or Swim? Exploring Decision-Making Under Pressure,WARNING,22900,9765,13135,57.4,"pre_abstract (líneas 0-7, 7 líneas eliminadas) | references (desde línea 991: 'References') | acknowledgments (líneas 962-991, 29 líneas)",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada,
paper_46,LLMARENA: Assessing Capabilities of Large Language Models in Dynamic Multi-Agent Environments,WARNING,18574,9048,9526,51.3,"pre_abstract (líneas 0-8, 8 líneas eliminadas) | references (desde línea 969: 'References')",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada | Sección 'acknowledgments' no detectada,
paper_47,Navigating Social Dilemmas with LLM-based Agents via Consideration of Future Consequences,WARNING,14034,9965,4069,29.0,"pre_abstract (líneas 0-5, 5 líneas eliminadas) | references (desde línea 904: 'References') | acknowledgments (líneas 899-904, 5 líneas)",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada,
paper_48,Benchmarking Large Language Model (LLM) Performance for Game Playing via Tic-Tac-Toe,WARNING,17585,11652,5933,33.7,appendix (desde línea 796: 'Appendix A'),No se encontró 'Abstract' ni 'Introduction' en las primeras 100 líneas — bloque de autor no eliminado | Sección 'disclaimer' no detectada | Sección 'references' no detectada | Sección 'bibliography' no detectada | Sección 'acknowledgments' no detectada,
paper_49,"The machine psychology of cooperation: can GPT models operationalize prompts for altruism, cooperation, competitiveness, and selfishness in economic games?",WARNING,41674,31306,10368,24.9,"pre_abstract (líneas 0-8, 8 líneas eliminadas) | references (desde línea 2462: 'References')",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada | Sección 'acknowledgments' no detectada,
paper_50,LLM-Deliberation: Evaluating LLMs with Interactive Multi-Agent Negotiation Games,WARNING,43072,8560,34512,80.1,"pre_abstract (líneas 0-5, 5 líneas eliminadas) | acknowledgments (líneas 506-2265, 1759 líneas)",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada | Sección 'references' no detectada | Sección 'bibliography' no detectada,
paper_51,Playing repeated games with large language models,WARNING,16114,11931,4183,26.0,"pre_abstract (líneas 0-7, 7 líneas eliminadas) | references (desde línea 803: 'References') | acknowledgments (líneas 785-803, 18 líneas)",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada,
paper_52,Human-level play in the game of Diplomacy by combining language models with strategic reasoning,WARNING,48577,9150,39427,81.2,"acknowledgments (líneas 1055-2028, 973 líneas)",No se encontró 'Abstract' ni 'Introduction' en las primeras 100 líneas — bloque de autor no eliminado | Sección 'disclaimer' no detectada | Sección 'appendix' no detectada | Sección 'references' no detectada | Sección 'bibliography' no detectada,
paper_53,Evaluating Language Model Agency through Negotiations,WARNING,23699,9259,14440,60.9,"pre_abstract (líneas 0-11, 11 líneas eliminadas) | references (desde línea 731: 'REFERENCES') | acknowledgments (líneas 725-731, 6 líneas)",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada,
paper_54,Strategic Reasoning with Language Models,WARNING,20529,8879,11650,56.7,"pre_abstract (líneas 0-6, 6 líneas eliminadas) | references (desde línea 630: 'References') | acknowledgments (líneas 625-630, 5 líneas)",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada,
paper_55,AvalonBench: Evaluating LLMs Playing the Game of Avalon,WARNING,16498,8398,8100,49.1,"pre_abstract (líneas 0-9, 9 líneas eliminadas) | references (desde línea 572: 'References')",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada | Sección 'acknowledgments' no detectada,
